Bill #,State,Session,Subject,Introduced,Latest Action,Latest Action Date,Link,Primary Sponsor,Cosponsors,Latest Bill Text
HB 747,Kentucky,2022 Regular Session,AN ACT relating to a tax credit for security modifications.,Mar 01 2022,To Committee On Committees (H),Mar 01 2022,https://openstates.org/ky/bills/2022RS/HB747/,McKenzie Cantrell,,https://apps.legislature.ky.gov/recorddocuments/bill/22RS/hb747/orig_bill.pdf
HB 379,Kentucky,2022 Regular Session,AN ACT relating to data centers.,Jan 27 2022,Floor Amendment (1) Filed,Feb 28 2022,https://openstates.org/ky/bills/2022RS/HB379/,Phillip Pratt,,https://apps.legislature.ky.gov/recorddocuments/bill/22RS/hb379/orig_bill.pdf
HB 627,Kentucky,2022 Regular Session,AN ACT relating to a tax credit for stillage management.,Feb 28 2022,To Committee On Committees (H),Feb 28 2022,https://openstates.org/ky/bills/2022RS/HB627/,M. Pollock,,https://apps.legislature.ky.gov/recorddocuments/bill/22RS/hb627/orig_bill.pdf
SB 1519,Oklahoma,2022 Regular Session,Municipalities and counties; allowing cities and counties to accept cryptocurrency as payment. Emergency.,Feb 07 2022,Referred To Finance,Feb 28 2022,https://openstates.org/ok/bills/2022/SB1519/,Nathan Dahm,,http://webserver1.lsb.state.ok.us/cf_pdf/2021-22 INT/SB/SB1519 INT.PDF
SB 197,Kentucky,2022 Regular Session,AN ACT relating to an individual income tax credit for stillbirths.,Feb 22 2022,To Appropriations & Revenue (S),Feb 24 2022,https://openstates.org/ky/bills/2022RS/SB197/,Brandon Smith,,https://apps.legislature.ky.gov/recorddocuments/bill/22RS/sb197/orig_bill.pdf
SB 2697,Hawaii,2022 Regular Session,Relating To Virtual Currency.,Jan 21 2022,The Committee On Wam Deferred The Measure.,Feb 24 2022,https://openstates.org/hi/bills/2022 Regular Session/SB2697/,Glenn Wakai,,https://capitol.hawaii.gov/sessions/session2022/bills/SB2697_.HTM
HB 555,Kentucky,2022 Regular Session,AN ACT relating to the decontamination tax credit.,Feb 22 2022,To Committee On Committees (H),Feb 22 2022,https://openstates.org/ky/bills/2022RS/HB555/,Chris Freeland,,https://apps.legislature.ky.gov/recorddocuments/bill/22RS/hb555/orig_bill.pdf
HB 556,Kentucky,2022 Regular Session,AN ACT relating to the voluntary environmental remediation tax credit.,Feb 22 2022,To Committee On Committees (H),Feb 22 2022,https://openstates.org/ky/bills/2022RS/HB556/,Jason Nemes,,https://apps.legislature.ky.gov/recorddocuments/bill/22RS/hb556/orig_bill.pdf
HB 4046,Oklahoma,2022 Regular Session,Revenue and taxation; manufacturing facilities; cryptocurrency mining; effective date.,Feb 07 2022,Referred To Business And Commerce,Feb 21 2022,https://openstates.org/ok/bills/2022/HB4046/,John Michael Montgomery,,http://webserver1.lsb.state.ok.us/cf_pdf/2021-22 INT/hB/HB4046 INT.PDF
HB 333,Kentucky,2022 Regular Session,AN ACT relating to the community investment tax credit.,Jan 20 2022,Recommitted To Appropriations & Revenue (H),Feb 17 2022,https://openstates.org/ky/bills/2022RS/HB333/,C. Ed Massey,,https://apps.legislature.ky.gov/recorddocuments/bill/22RS/hb333/orig_bill.pdf
HJ 30,Virginia,2022 Regular Session,"Blockchain technology & cryptocurrency; jt. subcommittee to study emergence and integration, etc.",Jan 11 2022,Left In Rules,Feb 15 2022,https://openstates.org/va/bills/2022/HJ30/,Karrie K. Delaney,,https://lis.virginia.gov/cgi-bin/legp604.exe?221+ful+HJ30
HB 483,Kentucky,2022 Regular Session,AN ACT relating to the natural resources severance and processing tax.,Feb 10 2022,To Committee On Committees (H),Feb 10 2022,https://openstates.org/ky/bills/2022RS/HB483/,Suzanne Miles,,https://apps.legislature.ky.gov/recorddocuments/bill/22RS/hb483/orig_bill.pdf
HB 467,Kentucky,2022 Regular Session,AN ACT relating to the Kentucky opportunity fund and making an appropriation therefor.,Feb 08 2022,To Committee On Committees (H),Feb 08 2022,https://openstates.org/ky/bills/2022RS/HB467/,Josie Raymond,,https://apps.legislature.ky.gov/recorddocuments/bill/22RS/hb467/orig_bill.pdf
HB 3169,Oklahoma,2022 Regular Session,Cryptocurrency; Oklahoma Cryptocurrency Act of 2022; effective date.,Feb 07 2022,Second Reading Referred To Rules,Feb 08 2022,https://openstates.org/ok/bills/2022/HB3169/,Logan Phillips,,http://webserver1.lsb.state.ok.us/cf_pdf/2021-22 INT/hB/HB3169 INT.PDF
SB 3076,Hawaii,2022 Regular Session,Relating To Special Purpose Digital Currency Licensure.,Jan 26 2022,The Committee On Cpn Deferred The Measure.,Feb 08 2022,https://openstates.org/hi/bills/2022 Regular Session/SB3076/,Ronald D. Kouchi,,https://capitol.hawaii.gov/sessions/session2022/bills/SB3076_.HTM
HB 3127,Oklahoma,2022 Regular Session,Cryptocurrency; Oklahoma Cryptocurrency Policy Act of 2022; effective date.,Feb 07 2022,Second Reading Referred To Rules,Feb 08 2022,https://openstates.org/ok/bills/2022/HB3127/,Forrest Bennett,,http://webserver1.lsb.state.ok.us/cf_pdf/2021-22 INT/hB/HB3127 INT.PDF
SB 1425,Oklahoma,2022 Regular Session,Oklahoma Uniform Securities Act of 2004; modifying definition of security. Effective date.,Feb 07 2022,"Second Reading Referred To Business, Commerce And Tourism",Feb 08 2022,https://openstates.org/ok/bills/2022/SB1425/,John Michael Montgomery,,http://webserver1.lsb.state.ok.us/cf_pdf/2021-22 INT/SB/SB1425 INT.PDF
SB 2696,Hawaii,2022 Regular Session,Relating To Virtual Currency.,Jan 21 2022,The Committee On Eet Deferred The Measure.,Feb 07 2022,https://openstates.org/hi/bills/2022 Regular Session/SB2696/,Glenn Wakai,,https://capitol.hawaii.gov/sessions/session2022/bills/SB2696_.HTM
SB 5426,Washington,2021-2022 Regular Session,Improving the equity of Washington state's tax code by creating the Washington state wealth tax and taxing extraordinary financial intangible assets.,Feb 04 2021,Scheduled For Public Hearing In The Senate Committee On Ways & Means At 04:00 Pm,Feb 01 2022,https://openstates.org/wa/bills/2021-2022/SB5426/,Sam Hunt,Steve Conway; Mona Das; Manka Dhingra; Bob Hasegawa; Karen Keiser; Patty Kuderer; Liz Lovelett; Joe Nguyen; Rebecca Saldaña; Derek Stanford; C. Wilson,http://lawfilesext.leg.wa.gov/Biennium/2021-22/Htm/Bills/Senate%20Bills/5426.htm
HB 423,Kentucky,2022 Regular Session,AN ACT relating to taxation.,Feb 01 2022,To Committee On Committees (H),Feb 01 2022,https://openstates.org/ky/bills/2022RS/HB423/,Buddy Wheatley,,https://apps.legislature.ky.gov/recorddocuments/bill/22RS/hb423/orig_bill.pdf
HB 432,Kentucky,2022 Regular Session,AN ACT relating to taxation of breast pumps and related supplies.,Feb 01 2022,To Committee On Committees (H),Feb 01 2022,https://openstates.org/ky/bills/2022RS/HB432/,Josie Raymond,,https://apps.legislature.ky.gov/recorddocuments/bill/22RS/hb432/orig_bill.pdf
A 9086,New York,2021 Regular Session,Relates to reporting of cryptocurrency holdings on the annual statement of financial disclosure,Jan 31 2022,Referred To Governmental Operations,Jan 31 2022,https://openstates.org/ny/bills/2021-2022/A9086/,Dr. Anna R. Kelles,,http://assembly.state.ny.us/leg/?sh=printbill&bn=A9086&term=2021&Text=Y
HB 2384,Hawaii,2022 Regular Session,Relating To Digital Currency Licensing Program.,Jan 26 2022,"Referred To Het, Cpc, Fin, Referral Sheet 3",Jan 28 2022,https://openstates.org/hi/bills/2022 Regular Session/HB2384/,Scott K. Saiki,,https://capitol.hawaii.gov/sessions/session2022/bills/HB2384_.HTM
HB 2287,Hawaii,2022 Regular Session,Relating To Virtual Currency.,Jan 25 2022,"Referred To Cpc, Jha, Referral Sheet 3",Jan 28 2022,https://openstates.org/hi/bills/2022 Regular Session/HB2287/,Tina Wildberger,,https://capitol.hawaii.gov/sessions/session2022/bills/HB2287_.HTM
HB 322,Kentucky,2022 Regular Session,AN ACT relating to a tax credit for Kentucky Education Savings Plan Trust account contributions.,Jan 19 2022,To Committee On Committees (H),Jan 19 2022,https://openstates.org/ky/bills/2022RS/HB322/,Matt Lockett,,https://apps.legislature.ky.gov/recorddocuments/bill/22RS/hb322/orig_bill.pdf
PR 24-0470,District of Columbia,24th Council Period (2021-2022),District of Columbia Board of Elections Michael Gill Confirmation Resolution of 2021,Oct 28 2021,"Resolution R24-0347, Effective From Jan 04, 2022 Published In Dc Register Page 000239",Jan 14 2022,https://openstates.org/dc/bills/24/PR24-0470/,Phil Mendelson,,https://lims.dccouncil.gov/downloads/LIMS/48204/Meeting1/Enrollment/PR24-0470-Enrollment1.pdf
HB 2017,West Virginia,2022 Regular,Rewriting the Criminal Code,Jan 12 2022,To House Judiciary,Jan 12 2022,https://openstates.org/wv/bills/2022/HB2017/,Brandon Steele,Bryan Ward; George Miller; Guy Ward; Austin Haynes; Smith,http://www.legis.state.wv.us/Bill_Status/bills_text.cfm?billdoc=HB2017%20INTR.htm&yr=2022&sesstype=RS&i=2017
SB 1127,Arizona,Fifty-fifth Legislature,state agencies; payments; cryptocurrency,Jan 11 2022,Senate Second Reading,Jan 12 2022,https://openstates.org/az/bills/55th-2nd-regular/SB1127/,Wendy Rogers,,https://www.azleg.gov/legtext/55leg/2R/bills/SB1127P.htm
HB 1406,Washington,2021-2022 Regular Session,Improving the equity of Washington state's tax code by creating the Washington state wealth tax and taxing extraordinary financial intangible assets.,Jan 27 2021,"By Resolution, Reintroduced And Retained In Present Status.",Jan 10 2022,https://openstates.org/wa/bills/2021-2022/HB1406/,Noel Frame,Pat Sullivan; Timm Ormsby; Lillian Ortiz-Self; Steve Kirby; Lauren Davis; Jessica Bateman; Javier Valdez; Shelley Kloba; Gerry Pollet; Amy Walen; Laurie Dolan; Tarra Simmons; Eileen Cody; Alex Ramel; Debra Lekanoff; Davina Duerr; Cindy Ryu; Liz Berry; Strom Peterson; David Hackney; Frank Chopp; Nicole Macri; Steve Bergquist; Marcus Riccelli; Kirsten Harris-Talley,http://lawfilesext.leg.wa.gov/Biennium/2021-22/Htm/Bills/House%20Bills/1406.htm
A 8598,New York,2021 Regular Session,Prohibits the investment of certain public funds with companies conducting cryptocurrency business activities,Jan 10 2022,Referred To Governmental Employees,Jan 10 2022,https://openstates.org/ny/bills/2021-2022/A8598/,Harvey Epstein,,http://assembly.state.ny.us/leg/?sh=printbill&bn=A8598&term=2021&Text=Y
HB 255,Kentucky,2022 Regular Session,AN ACT relating to the employer student loan repayment tax credit.,Jan 08 2022,To Committee On Committees (H),Jan 08 2022,https://openstates.org/ky/bills/2022RS/HB255/,Nima Kulkarni,,https://apps.legislature.ky.gov/recorddocuments/bill/22RS/hb255/orig_bill.pdf
S 5042,New York,2021 Regular Session,Establishes a task force to study the impact of a state-issued cryptocurrency on the state of New York,Feb 22 2021,Referred To Finance,Jan 05 2022,https://openstates.org/ny/bills/2021-2022/S5042/,Kevin S. Parker,,http://assembly.state.ny.us/leg/?sh=printbill&bn=S5042&term=2021&Text=Y
A 3336,New York,2021 Regular Session,Relates to financial technology products and services; establishes a regulatory sandbox program,Jan 22 2021,Referred To Banks,Jan 05 2022,https://openstates.org/ny/bills/2021-2022/A3336/,Ron Kim,,http://assembly.state.ny.us/leg/?sh=printbill&bn=A3336&term=2021&Text=Y
A 3747,New York,2021 Regular Session,Establishes a task force to study the potential designation of economic empowerment zones in the state of New York,Jan 28 2021,Referred To Economic Development,Jan 05 2022,https://openstates.org/ny/bills/2021-2022/A3747/,Clyde Vanel,,http://assembly.state.ny.us/leg/?sh=printbill&bn=A3747&term=2021&Text=Y
A 3860,New York,2021 Regular Session,Establishes a task force to study the impact of a state-issued cryptocurrency on the state of New York,Jan 28 2021,Referred To Governmental Operations,Jan 05 2022,https://openstates.org/ny/bills/2021-2022/A3860/,Clyde Vanel,,http://assembly.state.ny.us/leg/?sh=printbill&bn=A3860&term=2021&Text=Y
A 7866,New York,2021 Regular Session,Directs the New York state energy research and development authority to conduct a study on powering cryptocurrency mining facilities with renewable energy,May 28 2021,Referred To Energy,Jan 05 2022,https://openstates.org/ny/bills/2021-2022/A7866/,Dr. Anna R. Kelles,,http://assembly.state.ny.us/leg/?sh=printbill&bn=A7866&term=2021&Text=Y
A 3906,New York,2021 Regular Session,Establishes cryptocurrencies as a form of payment for state agencies,Jan 28 2021,Referred To Governmental Operations,Jan 05 2022,https://openstates.org/ny/bills/2021-2022/A3906/,Clyde Vanel,,http://assembly.state.ny.us/leg/?sh=printbill&bn=A3906&term=2021&Text=Y
HB 115,Kentucky,2022 Regular Session,AN ACT related to a tax credit for educator expense.,Dec 08 2021,To Committee On Committees (H),Jan 04 2022,https://openstates.org/ky/bills/2022RS/HB115/,Cherlynn Stevenson,,https://apps.legislature.ky.gov/recorddocuments/bill/22RS/hb115/orig_bill.pdf
HB 187,Kentucky,2022 Regular Session,AN ACT relating to the home modification tax credit.,Jan 04 2022,To Committee On Committees (H),Jan 04 2022,https://openstates.org/ky/bills/2022RS/HB187/,Al Gentry,,https://apps.legislature.ky.gov/recorddocuments/bill/22RS/hb187/orig_bill.pdf
HB 164,Kentucky,2022 Regular Session,AN ACT relating to a tax credit for volunteer firefighters.,Dec 10 2021,To Committee On Committees (H),Jan 04 2022,https://openstates.org/ky/bills/2022RS/HB164/,Susan Westrom,,https://apps.legislature.ky.gov/recorddocuments/bill/22RS/hb164/orig_bill.pdf
HB 109,Kentucky,2022 Regular Session,AN ACT relating to tax credits for airport noise mitigation.,Dec 06 2021,To Committee On Committees (H),Jan 04 2022,https://openstates.org/ky/bills/2022RS/HB109/,Russell Webber,,https://apps.legislature.ky.gov/recorddocuments/bill/22RS/hb109/orig_bill.pdf
HB 47,Kentucky,2022 Regular Session,AN ACT relating to the promotion of organ and bone marrow donation.,Aug 09 2021,To Committee On Committees (H),Jan 04 2022,https://openstates.org/ky/bills/2022RS/HB47/,Killian Timoney,,https://apps.legislature.ky.gov/recorddocuments/bill/22RS/hb47/orig_bill.pdf
HB 36,Kentucky,2022 Regular Session,AN ACT relating to the taxation of firearms and ammunition.,Jul 19 2021,To Committee On Committees (H),Jan 04 2022,https://openstates.org/ky/bills/2022RS/HB36/,Richard White,,https://apps.legislature.ky.gov/recorddocuments/bill/22RS/hb36/orig_bill.pdf
HB 96,Kentucky,2022 Regular Session,AN ACT relating to an exemption of income taxation for military pensions.,Dec 02 2021,To Committee On Committees (H),Jan 04 2022,https://openstates.org/ky/bills/2022RS/HB96/,Buddy Wheatley,,https://apps.legislature.ky.gov/recorddocuments/bill/22RS/hb96/orig_bill.pdf
HB 125,Kentucky,2022 Regular Session,AN ACT relating to veterans' income taxation.,Dec 09 2021,To Committee On Committees (H),Jan 04 2022,https://openstates.org/ky/bills/2022RS/HB125/,Bobby McCool,,https://apps.legislature.ky.gov/recorddocuments/bill/22RS/hb125/orig_bill.pdf
HB 143,Kentucky,2022 Regular Session,AN ACT relating to economic fiscal matters.,Dec 09 2021,To Committee On Committees (H),Jan 04 2022,https://openstates.org/ky/bills/2022RS/HB143/,James Tipton,,https://apps.legislature.ky.gov/recorddocuments/bill/22RS/hb143/orig_bill.pdf
HB 187,Kentucky,2022 Regular Session,AN ACT relating to the home modification tax credit.,Jan 04 2022,To Committee On Committees (H),Jan 04 2022,https://openstates.org/ky/bills/2022RS/HB187/,Al Gentry,,https://apps.legislature.ky.gov/recorddocuments/bill/22RS/hb187/orig_bill.pdf
HR 6006,United States,117th Congress,Keep Innovation in America Act,Nov 17 2021,Introduced In House,Nov 17 2021,https://openstates.org/us/bills/117/HR6006/,Patrick McHenry,Tim Ryan; Kevin Brady; Ro Khanna; Tom Emmer; Eric Swalwell; Warren Davidson; Darren Soto; Anthony Gonzalez; Ted Budd; Mike Bost; David Schweikert; Byron Donalds; Jake Auchincloss; J. French Hill; William R. Timmons; Bryan Steil; Gregory Murphy; Jackie Walorski; David P. Joyce,https://www.govinfo.gov/content/pkg/BILLS-117hr6006ih/pdf/BILLS-117hr6006ih.pdf
SCONRES 18,United States,117th Congress,ACCEPT Resolution,Nov 01 2021,Introduced In Senate,Nov 01 2021,https://openstates.org/us/bills/117/SCONRES18/,Ted Cruz,,https://www.govinfo.gov/content/pkg/BILLS-117sconres18is/pdf/BILLS-117sconres18is.pdf
HR 5412,United States,117th Congress,Intelligence Authorization Act for Fiscal Year 2022,Sep 29 2021,Reported (Amended) By The Committee On Intelligence. H. Rept. 117-156.,Oct 28 2021,https://openstates.org/us/bills/117/HR5412/,Adam B. Schiff,,https://www.govinfo.gov/content/pkg/BILLS-117hr5412rh/pdf/BILLS-117hr5412rh.pdf
S 3076,United States,117th Congress,Ban Conflicted Trading at the Fed Act,Oct 26 2021,Introduced In Senate,Oct 26 2021,https://openstates.org/us/bills/117/S3076/,Sherrod Brown,Kirsten E. Gillibrand; Jeff Merkley; Raphael G. Warnock; Jon Ossoff,https://www.govinfo.gov/content/pkg/BILLS-117s3076is/pdf/BILLS-117s3076is.pdf
HR 119,Michigan,2021-2022 Regular Session,A resolution to declare October 2021 as Cryptocurrency Education Month in the state of Michigan.,Jun 02 2021,Adopted,Oct 13 2021,https://openstates.org/mi/bills/2021-2022/HR119/,Brad Paquette,Abraham Aiyash; Shri Thanedar,http://legislature.mi.gov/documents/2021-2022/resolutionadopted/House/htm/2021-HAR-0119.htm
HR 5501,United States,117th Congress,Ransom Disclosure Act,Oct 05 2021,Referred To The Subcommittee On Consumer Protection And Commerce.,Oct 06 2021,https://openstates.org/us/bills/117/HR5501/,Deborah K. Ross,,https://www.govinfo.gov/content/pkg/BILLS-117hr5501ih/pdf/BILLS-117hr5501ih.pdf
S 2943,United States,117th Congress,Ransom Disclosure Act,Oct 06 2021,Introduced In Senate,Oct 06 2021,https://openstates.org/us/bills/117/S2943/,Elizabeth A. Warren,,https://www.govinfo.gov/content/pkg/BILLS-117s2943is/pdf/BILLS-117s2943is.pdf
S 2926,United States,117th Congress,"A bill to require certain entities to disclose to the Secretary of Homeland Security ransom payments, and for other purposes.",Oct 04 2021,Introduced In Senate,Oct 04 2021,https://openstates.org/us/bills/117/S2926/,Elizabeth A. Warren,,https://www.govinfo.gov/content/pkg/BILLS-117s2926is/pdf/BILLS-117s2926is.pdf
HR 5083,United States,117th Congress,Cryptocurrency Tax Reform Act,Aug 23 2021,Introduced In House,Aug 23 2021,https://openstates.org/us/bills/117/HR5083/,Darren Soto,Ro Khanna; Byron Donalds,https://www.govinfo.gov/content/pkg/BILLS-117hr5083ih/pdf/BILLS-117hr5083ih.pdf
HR 5082,United States,117th Congress,Cryptocurrency Tax Clarity Act,Aug 23 2021,Introduced In House,Aug 23 2021,https://openstates.org/us/bills/117/HR5082/,Darren Soto,,https://www.govinfo.gov/content/pkg/BILLS-117hr5082ih/pdf/BILLS-117hr5082ih.pdf
HR 5039,United States,117th Congress,Hizballah in Latin America Accountability Act of 2021,Aug 13 2021,Introduced In House,Aug 13 2021,https://openstates.org/us/bills/117/HR5039/,Joe Wilson,Vicente Gonzalez; Maria Elvira Salazar,https://www.govinfo.gov/content/pkg/BILLS-117hr5039ih/pdf/BILLS-117hr5039ih.pdf
S 2666,United States,117th Congress,Sanction and Stop Ransomware Act of 2021,Aug 05 2021,Introduced In Senate,Aug 05 2021,https://openstates.org/us/bills/117/S2666/,Marco Rubio,Dianne Feinstein; Roy Blunt,https://www.govinfo.gov/content/pkg/BILLS-117s2666is/pdf/BILLS-117s2666is.pdf
HB 1724,Pennsylvania,2021-2022 Regular Session,An Act establishing a task force on digital currency and the impact on widespread use of cryptocurrency and other forms of digital currencies in this Commonwealth.,Jul 19 2021,Pn 1953 Referred To Commerce,Jul 19 2021,https://openstates.org/pa/bills/2021-2022/HB1724/,John T. Galloway,R. Lee James; Danilo Burgos; Brooks; Malcolm Kenyatta; Tina M. Davis; Benjamin V. Sanchez; Liz Hanbidge; Nick Pisciottano; Stephen Kinsey; Steven R. Malagari; Napoleon J. Nelson,http://www.legis.state.pa.us/CFDOCS/Legis/PN/Public/btCheck.cfm?txtType=HTM&sessYr=2021&sessInd=0&billBody=H&billTyp=B&billNbr=1724&pn=1953
HR 3524,United States,117th Congress,EAGLE Act,May 25 2021,Committee Consideration And Mark-Up Session Held.,Jul 15 2021,https://openstates.org/us/bills/117/HR3524/,Gregory W. Meeks,,https://www.govinfo.gov/content/pkg/BILLS-117hr3524ih/pdf/BILLS-117hr3524ih.pdf
SB 103,Delaware,151st General Assembly (2021-2022),An Act To Amend Title 12 Of The Delaware Code Relating To Unclaimed Property.,Apr 14 2021,Signed By Governor,Jun 30 2021,https://openstates.org/de/bills/151/SB103/,William Bush,Trey Paradee; Paul S. Baumbach; Gerald L. Brady,https://legis.delaware.gov/json/BillDetail/GenerateHtmlDocument?legislationId=58557&legislationTypeId=1&docTypeId=2&legislationName=SB103
HR 213,Louisiana,2021 Regular Session,"COMMERCE: Directs the House Committee on Commerce, or a subcommittee thereof, to study the potential role of blockchain technology in the state",Jun 09 2021,Taken By The Clerk Of The House And Presented To The Secretary Of State In Accordance With The Rules Of The House.,Jun 14 2021,https://openstates.org/la/bills/2021/HR213/,Mark Wright,,http://www.legis.la.gov/Legis/ViewDocument.aspx?d=1233970
LB 649,Nebraska,107th Legislature (2021-2022),Adopt the Nebraska Financial Innovation Act and provisions for controllable electronic records under the Uniform Commercial Code,Jan 20 2021,"Approved By Governor On May 25, 2021",May 26 2021,https://openstates.org/ne/bills/107/LB649/,Michael Flood,,https://nebraskalegislature.gov/FloorDocs/107/PDF/Slip/LB649.pdf
LD 1615,Maine,130th Legislature (2021-2022),"An Act To Implement Strategies Relating To Blockchain, Cryptocurrency And Other Financial Technology",Apr 28 2021,Pursuant To Joint Rule 310.3 Placed In Legislative Files (Dead),May 19 2021,https://openstates.org/me/bills/130/LD1615/,Nathan J. Wadsworth,,http://www.mainelegislature.org/legis/bills/getPDF.asp?paper=HP1204&item=1&snum=130
S 1651,United States,117th Congress,Hizballah in Latin America Accountability Act of 2021,May 13 2021,Introduced In Senate,May 13 2021,https://openstates.org/us/bills/117/S1651/,Marsha Blackburn,Jacklyn Rosen; Susan M. Collins; Charles E. Grassley; Joni Ernst,https://www.govinfo.gov/content/pkg/BILLS-117s1651is/pdf/BILLS-117s1651is.pdf
HB 2544,Arizona,55th Legislature,blockchain and cryptocurrency study committee,Jan 28 2021,Signed By Governor,May 07 2021,https://openstates.org/az/bills/55th-1st-regular/HB2544/,Justin Wilmeth,Steve Kaiser; Aaron Lieberman; Jeff Weninger,https://www.azleg.gov/legtext/55leg/1R/adopted/S.2544FloorLIVINGSTON.docx.htm
SF 970,Minnesota,2021-2022 Regular Session,Omnibus judiciary and public safety policy and finance bill,Feb 11 2021,House Conferees Mariani; Becker-Finn; Moller; Frazier; Miller,Apr 27 2021,https://openstates.org/mn/bills/2021-2022/SF970/,Warren Limmer,Andrew Mathews; Mary Kiffmeyer; Zach Duckworth; Ron Latz; Carlos Mariani,https://www.revisor.mn.gov/bills/text.php?number=SF970&version=1&session=ls92&session_year=2021&session_number=0&type=ue
HR 33,Louisiana,2021 Regular Session,COMMENDATIONS: Commends Bitcoin and the cryptocurrency industry,Apr 21 2021,Taken By The Clerk Of The House And Presented To The Secretary Of State In Accordance With The Rules Of The House.,Apr 27 2021,https://openstates.org/la/bills/2021/HR33/,Mark Wright,,http://www.legis.la.gov/Legis/ViewDocument.aspx?d=1215864
HF 1078,Minnesota,2021-2022 Regular Session,Omnibus public safety bill.,Feb 11 2021,Hf Indefinitely Postponed,Apr 17 2021,https://openstates.org/mn/bills/2021-2022/HF1078/,Carlos Mariani,,https://www.revisor.mn.gov/bills/text.php?number=HF1078&version=2&session=ls92&session_year=2021&session_number=0
HF 1030,Minnesota,2021-2022 Regular Session,Omnibus judiciary finance bill.,Feb 11 2021,"Committee Report, To Adopt As Amended And Re-Refer To Ways And Means",Apr 09 2021,https://openstates.org/mn/bills/2021-2022/HF1030/,Jamie Becker-Finn,,https://www.revisor.mn.gov/bills/text.php?number=HF1030&version=1&session=ls92&session_year=2021&session_number=0
HB 2017,West Virginia,2021 Regular Session,Rewriting the Criminal Code,Feb 10 2021,To House Judiciary,Apr 08 2021,https://openstates.org/wv/bills/2021/HB2017/,Brandon Steele,David Kelly; Bryan Ward; Barry Bruce; George Miller; Guy Ward; Austin Haynes; Steve Westfall; Joshua Higginbotham; Smith; Charlie Reynolds,http://www.legis.state.wv.us/legisdocs/chamber/2021/RS/com_amends/HB2017 S JUD AM _1 adopted.htm
HCR 118,Hawaii,2021 Regular Session,"Requesting The Department Of Commerce And Consumer Affairs, Following The Completion Of The Department Of Commerce And Consumer Affairs' Division Of Financial Institutions' And Hawaii Technology Development Corporation'S Study, To Reconsider Its 2016 Ruling On Asset Reserve Requirements For Digital Currency Companies, Virtual Currency Companies, And Cryptocurrency Companies To Conduct Business In Hawaii And To Align The State'S Asset Reserve Requirements For These Companies With The Asset Reserve Requirements In Other States.",Mar 12 2021,"Referred To Cpn, Jdc/Wam.",Apr 01 2021,https://openstates.org/hi/bills/2021 Regular Session/HCR118/,Tina Wildberger,,https://capitol.hawaii.gov/session2021/bills/HCR118_.HTM
HR 94,Hawaii,2021 Regular Session,"Requesting The Department Of Commerce And Consumer Affairs, Following The Completion Of The Department Of Commerce And Consumer Affairs' Division Of Financial Institutions' And Hawaii Technology Development Corporation'S Study, To Reconsider Its 2016 Ruling On Asset Reserve Requirements For Digital Currency Companies, Virtual Currency Companies, And Cryptocurrency Companies To Conduct Business In Hawaii And To Align The State'S Asset Reserve Requirements For These Companies With The Asset Reserve Requirements In Other States.",Mar 12 2021,Resolution Adopted In Final Form.,Mar 31 2021,https://openstates.org/hi/bills/2021 Regular Session/HR94/,Tina Wildberger,,https://capitol.hawaii.gov/session2021/bills/HR94_.HTM
HB 230,Kentucky,2021 Regular Session,AN ACT relating to the taxation of the commercial mining of cryptocurrency.,Jan 08 2021,Signed By Governor (Acts Ch. 122),Mar 25 2021,https://openstates.org/ky/bills/2021RS/HB230/,Gerald A. Neal,,https://apps.legislature.ky.gov/recorddocuments/bill/21RS/hb230/orig_bill.pdf
SB 255,Kentucky,2021 Regular Session,AN ACT relating to commercial mining of cryptocurrency.,Feb 22 2021,Signed By Governor (Acts Ch. 141),Mar 25 2021,https://openstates.org/ky/bills/2021RS/SB255/,Brandon Smith,,https://apps.legislature.ky.gov/recorddocuments/bill/21RS/sb255/orig_bill.pdf
AJR 6,California,2021-2022 Regular Session,Relative to financial institutions.,Feb 16 2021,Referred To Com. On B. & F.,Mar 18 2021,https://openstates.org/ca/bills/20212022/AJR6/,,,https://leginfo.legislature.ca.gov/faces/billPdf.xhtml?bill_id=202120220AJR6&version=20210AJR699INT
HF 75,Minnesota,2021-2022 Regular Session,"Vehicles and property subject to forfeiture limited, innocent owners provided property recovery, federal equitable sharing program participation modified, reports required, and money appropriated.",Jan 14 2021,Author Added Christensen,Mar 08 2021,https://openstates.org/mn/bills/2021-2022/HF75/,Kelly Moller,Jamie Becker-Finn; Peggy Scott; Zack Stephenson; Sandra Feist; Liz Olson; Athena Hollins; Kaohly Vang Her; Jamie Long; Liz Reyer; Erik Mortensen; Eric Lucero; Sandra Masin; Jessica Hanson; Frank Hornstein; Michelle (Shelly) Christensen,https://www.revisor.mn.gov/bills/text.php?number=HF75&version=3&session=ls92&session_year=2021&session_number=0
SF 444,Minnesota,2021-2022 Regular Session,Motor vehicles and other property subject to forfeiture limit; property recovery by innocent owners; federal equitable sharing program participation modification; appropriations,Jan 28 2021,Author Added Bigham,Feb 15 2021,https://openstates.org/mn/bills/2021-2022/SF444/,Johnson,Foung Hawj; Karla Bigham,https://www.revisor.mn.gov/bills/text.php?number=SF444&version=0&session=ls92&session_year=2021&session_number=0
